,Unnamed: 0,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_z,tenure_z,TotalCharges_z
4658,4666,Female,Yes,No,No,25,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),19.2,532.1,No,-1.5157046571311175,-0.3023929662984406,-0.7726076833775672
4,4,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0.19617817640187488,-1.2395040756535771,-0.94045745447498
5837,5846,Female,Yes,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,76.1,257.6,No,0.375676570597567,-1.1987601143772668,-0.8937136425476022
1915,1920,Male,Yes,Yes,No,22,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),20.45,471.55,No,-1.4741541029191516,-0.42462485012737144,-0.799321584389391
3803,3809,Male,Yes,No,No,50,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),20.15,989.05,No,-1.4841262359300234,0.7162060656093164,-0.5710070711999808
5725,5734,Male,Yes,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,89.4,6376.55,No,0.8177744674128837,1.6125732136881425,1.8058903970279363
3720,3726,Male,Yes,No,No,16,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),89.05,1448.6,Yes,0.8061403122335331,-0.6690886177852331,-0.3682593716131337
3034,3039,Male,Yes,Yes,No,72,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),64.45,4641.1,No,-0.011574594657954289,1.6125732136881425,1.0402316107196043
199,199,Male,Yes,No,Yes,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.75,20.75,No,-1.4641819699082799,-1.2802480369298874,-0.9982088936566105
2571,2576,Female,Yes,Yes,Yes,53,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.25,5935.1,No,1.4443568249293284,0.8384379494382472,1.6111281905594048
5955,5964,Female,Yes,Yes,Yes,49,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.75,3024.15,No,-0.10132379175580057,0.6754621043330061,0.3268535390256589
130,130,Female,Yes,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,No,0.703094937787858,-0.791320501614164,-0.4710339916082507
4313,4320,Male,Yes,Yes,No,71,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check,20.85,1539.75,No,-1.4608579255713225,1.5718292524118322,-0.32804513416924047
4538,4546,Female,Yes,Yes,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,84.5,916.9,Yes,0.6548962949019775,-0.8320644628904743,-0.6028387468069681
4678,4686,Female,Yes,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),107.4,7748.75,No,1.4161024480651918,1.6125732136881425,2.411287836638581
3815,3821,Female,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.2,74.2,Yes,0.3125197281953792,-1.2802480369298874,-0.9746274236469991
5580,5589,Female,Yes,No,No,46,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),54.35,2460.15,Yes,-0.34730307269063826,0.5532302205040753,0.07802380870908439
837,839,Male,Yes,No,No,44,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),20.4,905.55,No,-1.4758161250876303,0.4717422979514547,-0.6078462245358567
5422,5431,Female,Yes,No,No,37,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,19.8,695.05,No,-1.495760391109374,0.18653456901728277,-0.7007161859394718
6955,6966,Male,Yes,No,Yes,50,No,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),43.05,2208.05,No,-0.7229200827668095,0.7162060656093164,-0.03319955124270359
5316,5325,Male,Yes,Yes,Yes,5,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check,20.55,99.45,No,-1.4708300585821945,-1.1172721918246462,-0.9634874401532162
2742,2747,Male,Yes,No,No,7,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.4,168.65,No,-1.509056568457203,-1.0357842692720256,-0.9329572675682747
3256,3261,Female,Yes,Yes,Yes,68,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.0,5607.75,No,0.6715165165867639,1.4495973685829016,1.4667054738588183
2982,2987,Female,Yes,Yes,Yes,33,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.1,670.35,No,-1.485788258098502,0.02355872391204165,-0.7116135163274495
2581,2586,Female,Yes,Yes,Yes,44,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.6,780.25,No,-1.5024084797832884,0.4717422979514547,-0.6631270139129255
257,257,Male,Yes,No,No,50,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),114.35,5791.1,No,1.6471235294837214,0.7162060656093164,1.5475971955849601
4955,4963,Male,Yes,Yes,No,47,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,73.6,3522.65,No,0.2925754621736353,0.5939741817803856,0.5467854903781632
4797,4805,Male,Yes,Yes,Yes,52,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check,24.55,1331.05,No,-1.3378682851039039,0.797693988161937,-0.42012095813567507
4013,4020,Male,Yes,Yes,No,72,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),64.95,4546.0,No,0.005045627026832042,1.6125732136881425,0.9982746827885648
2873,2878,Male,Yes,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.0,1850.65,No,0.7379974033259092,-0.42462485012737144,-0.1908799512695542
5308,5317,Female,Yes,No,No,6,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),49.65,267.35,Yes,-0.5035331565276299,-1.076528230548336,-0.8894120647628743
6760,6771,Male,Yes,Yes,Yes,31,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,20.65,702.05,No,-1.4675060142452372,-0.05792919864057891,-0.6976278736837697
5496,5505,Female,Yes,Yes,Yes,12,No,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),30.25,368.85,No,-1.1483977578973394,-0.8320644628904743,-0.8446315370551928
5994,6003,Female,Yes,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),93.2,6506.15,No,0.9440881522172598,1.5718292524118322,1.8630682925049364
2386,2391,Male,Yes,No,No,8,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.25,436.6,No,-0.18442490017973223,-0.9950403079957154,-0.8147410862946468
834,836,Male,Yes,Yes,Yes,62,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),71.4,4487.3,No,0.21944648676057582,1.2051336009250397,0.9723769785871766
3097,3102,Female,Yes,No,No,5,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,54.2,308.25,Yes,-0.3522891391960741,-1.1172721918246462,-0.8713674974402715
1742,1747,Female,Yes,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.75,264.85,Yes,0.6632064057443707,-1.1987601143772668,-0.890515033425625
751,752,Male,Yes,Yes,Yes,7,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),71.35,515.75,No,0.2177844645920968,-1.0357842692720256,-0.7798210984319573
6866,6877,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.7,69.7,Yes,0.1629377330323022,-1.2802480369298874,-0.9766127672399504
5688,5697,Female,Yes,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,109.5,7674.55,Yes,1.4859073791412942,1.5310852911355222,2.3785517267281375
5331,5340,Female,Yes,No,No,38,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),84.1,3187.65,No,0.6416001175541483,0.22727853029359305,0.3989876895695595
98,98,Male,Yes,No,No,52,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),21.0,1107.2,No,-1.4558718590658866,0.797693988161937,-0.5188807721983792
3931,3938,Female,Yes,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.95,123.05,No,-0.46032058014718524,-1.2395040756535771,-0.9530754159768487
100,100,Male,Yes,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.2,20.2,No,-1.4824642137615447,-1.2802480369298874,-0.9984515467624158
4933,4941,Male,Yes,No,No,3,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.8,58.15,Yes,-1.495760391109374,-1.1987601143772668,-0.9817084824618588
6967,6978,Female,Yes,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,80.7,5617.95,No,0.5285826100976015,1.5310852911355222,1.4712055860028415
902,904,Male,Yes,Yes,Yes,67,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),81.35,5398.6,No,0.5501888982878235,1.4088534073065913,1.3744311155330888
1791,1796,Female,Yes,Yes,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.65,1642.75,No,0.29423748434211433,-0.38388088885106114,-0.28260282526390856
3900,3907,Male,Yes,No,No,19,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,89.95,1682.4,No,0.8360567112661487,-0.5468567339563023,-0.2651097422726813
6308,6317,Male,Yes,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.15,79.15,Yes,0.47705992287476395,-1.2802480369298874,-0.9724435456947523
6302,6311,Female,Yes,No,No,55,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.15,5409.75,No,1.17510923363579,0.9199258719908678,1.379350355768957
3766,3772,Male,Yes,Yes,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,95.0,Yes,1.0039209502824906,-1.2802480369298874,-0.9654507243729125
2330,2335,Male,Yes,No,No,5,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,55.8,274.35,No,-0.29910442980475804,-1.1172721918246462,-0.8863237525071721
80,80,Female,Yes,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,0.48370801154867815,-1.2802480369298874,-0.9723553082017324
4708,4716,Female,Yes,Yes,No,66,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),66.9,4370.25,No,0.06986449159749883,1.368109446030281,0.9207359857971854
6153,6162,Female,Yes,Yes,No,60,No,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),49.45,2907.55,No,-0.5101812452015443,1.1236456783724194,0.2754110805949629
6542,6551,Female,Yes,Yes,No,63,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,96.0,6109.75,No,1.0371613936520632,1.24587756220135,1.6881815813391736
2570,2575,Female,Yes,No,No,35,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),19.25,617.65,No,-1.5140426349626388,0.10504664646466222,-0.7348640957382357
6480,6489,Male,Yes,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,18.85,18.85,Yes,-1.5273388123104679,-1.2802480369298874,-0.9990471498403011
6397,6406,Female,Yes,No,No,39,No,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.65,1905.4,No,-0.4702927131580572,0.2680224915699033,-0.16672493755531229
964,967,Male,Yes,No,Yes,3,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.85,60.65,No,-1.4608579255713225,-1.1987601143772668,-0.9806055137991081
3157,3162,Male,Yes,No,No,19,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,69.6,1394.55,No,0.15961368869534465,-0.5468567339563023,-0.3921055541018054
1854,1859,Male,Yes,No,No,52,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.35,4338.6,Yes,0.6831506717661141,0.797693988161937,0.9067724025267607
241,241,Male,Yes,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),109.2,7878.3,No,1.4759352461304225,1.6125732136881425,2.4684436727423256
5150,5158,Male,Yes,No,No,72,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),24.75,1777.6,No,-1.3312201964299892,1.6125732136881425,-0.2231086955951319
4943,4951,Male,Yes,Yes,No,29,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.3,2357.75,No,0.6482482062280629,-0.13941712119319946,0.032846212282812655
4756,4764,Male,Yes,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.15,98.5,Yes,-0.6531151516907069,-1.2395040756535771,-0.9639065682450614
6528,6537,Male,Yes,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.65,7968.85,Yes,1.6903361058641662,1.5310852911355222,2.5083931977071594
5241,5250,Male,Yes,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.55,1173.55,No,0.9889627507661827,-0.8320644628904743,-0.4896079838889738
5201,5209,Male,Yes,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),109.95,7852.4,No,1.500865578657602,1.6125732136881425,2.4570169173962277
6408,6417,Female,Yes,Yes,No,51,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.5,3807.35,Yes,0.42221319131496887,0.7569500268856267,0.6723915616922211
2958,2963,Female,Yes,Yes,Yes,34,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),25.6,917.15,No,-1.3029658195658524,0.06430268518835193,-0.6027284499406931
4265,4272,Male,Yes,Yes,No,56,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),25.15,1327.15,Yes,-1.3179240190821602,0.9606698332671781,-0.4218415892495662
6592,6601,Male,Yes,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),109.7,7898.45,No,1.4925554678152089,1.6125732136881425,2.477333600164097
3626,3632,Female,Yes,Yes,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.65,1928.7,No,0.4936801445595503,-0.3431369275747509,-0.15644526961847507
4906,4914,Female,Yes,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Mailed check,74.55,5430.65,No,0.32415388337472945,1.6125732136881425,1.3885711737895534
6307,6316,Male,Yes,Yes,Yes,63,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check,25.25,1573.05,No,-1.3145999747452028,1.24587756220135,-0.3133535915814002
3533,3539,Male,Yes,No,No,8,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.15,438.4,Yes,-0.6531151516907069,-0.9950403079957154,-0.8139469488574662
182,182,Male,Yes,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,0.6548962949019775,-0.9950403079957154,-0.7150106598087218
4119,4126,Male,Yes,Yes,Yes,6,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.55,122.9,No,-1.504070501951767,-1.076528230548336,-0.9531415940966138
6864,6875,Female,Yes,Yes,No,64,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.45,1208.6,No,-1.5073945462887242,1.2866215234776603,-0.474144363237208
1520,1525,Female,Yes,Yes,Yes,7,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.65,158.95,No,-1.4675060142452372,-1.0357842692720256,-0.9372367859797478
3598,3604,Male,Yes,Yes,Yes,38,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.6,717.3,No,-1.5024084797832884,0.22727853029359305,-0.6908997648409899
946,949,Male,Yes,Yes,Yes,35,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.5,759.35,No,-1.472492080750673,0.10504664646466222,-0.672347831933522
1270,1274,Female,Yes,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.15,6638.35,No,1.2083496770053626,1.2051336009250397,1.9213932753911975
5670,5679,Male,Yes,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.55,649.65,Yes,0.7230392038096014,-0.9950403079957154,-0.7207460968550259
6177,6186,Male,Yes,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),110.85,5275.8,Yes,1.530781977690217,0.5939741817803856,1.3202532948187706
6410,6419,Male,Yes,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),84.9,5785.65,No,0.6681924722498068,1.4903413298592119,1.5451927239001633
2510,2515,Female,Yes,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.1,7334.05,No,1.672053862010901,1.2866215234776603,2.2283273948614823
5527,5536,Male,Yes,No,No,9,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.7,296.1,Yes,-1.000477784902741,-0.9542963467194051,-0.8767279251412403
2444,2449,Male,Yes,Yes,Yes,11,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),59.65,683.25,No,-0.17112872283190322,-0.8728084241667845,-0.7059221980276554
4881,4889,Male,Yes,Yes,Yes,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),113.45,5317.8,No,1.6172071304511062,0.5939741817803856,1.3387831683529836
2363,2368,Female,Yes,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),117.15,8529.5,No,1.7401967709185253,1.6125732136881425,2.7557449500156475
985,988,Male,Yes,No,Yes,27,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.15,537.35,No,-1.5173666792995961,-0.22090504374582004,-0.7702914491857906
2348,2353,Male,Yes,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.35,253.8,No,0.5169484549182508,-1.1987601143772668,-0.8953901549149834
849,851,Male,Yes,No,Yes,52,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,85.15,4461.85,No,0.6765025830921999,0.797693988161937,0.9611487576003739
3748,3754,Male,Yes,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.05,20.05,No,-1.4874502802669807,-1.2802480369298874,-0.9985177248821806
510,511,Male,Yes,No,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.45,6300.15,No,1.3845240268640977,1.1643896396487294,1.7721836746942723
4673,4681,Male,Yes,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.85,790.15,Yes,0.6332900067117551,-0.9542963467194051,-0.6587592580084324
3145,3150,Male,Yes,No,No,17,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,25.65,440.2,No,-1.3013037973973738,-0.6283446565089229,-0.8131528114202856
5691,5700,Male,Yes,Yes,No,29,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,79.3,2414.55,No,0.4820459893801996,-0.13941712119319946,0.057905660300510316
2970,2975,Male,Yes,No,No,3,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,60.65,196.9,No,-0.13788827946233057,-1.1987601143772668,-0.920493721679191
7023,7034,Female,Yes,No,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.95,6886.25,Yes,1.2681824750705932,1.4088534073065913,2.030763647989564
3189,3194,Female,Yes,Yes,No,43,No,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),55.55,2342.2,Yes,-0.3074145406471512,0.4309983366751445,0.025985747200502767
